Event	ID	Name			Wwise Object Path	Notes
	452547817	Stop_All			\Default Work Unit\Stop_All	
	3679762312	Resume_All			\Default Work Unit\Resume_All	
	3864097025	Pause_All			\Default Work Unit\Pause_All	

Dialogue Event	ID	Name			Wwise Object Path	Notes
	3585983975	Unit_Under_Attack			\Dialogue\Unit_Under_Attack	
	3970659059	Objective_Status			\Dialogue\Objective_Status	
	4110439188	WalkieTalkie			\Dialogue\WalkieTalkie	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	122150048	UNA-HS-ST_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-hs-st_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-HS-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	26416
	130972370	WalkieTalkie_OUT_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\sfx\walkietalkie_out_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	1000
	143955854	UNB-DB-CP_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-db-cp_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-DB-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20656
	152207618	WalkieTalkie_OUT_03	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\sfx\walkietalkie_out_03_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2656
	154332458	WalkieTalkie_IN_05	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\sfx\walkietalkie_in_05_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_05	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2404
	160029535	UNB-BM-HG_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-bm-hg_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-BM-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	28504
	171852403	UNB-NH-OS_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-nh-os_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-NH-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20188
	222251975	UNB-RH-FL_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-rh-fl_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-RH-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	22528
	241281798	UNA-GG-HG_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-gg-hg_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	27172
	260542699	WalkieTalkie_OUT_05	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\sfx\walkietalkie_out_05_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_05	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2728
	296510554	UNA-NH-CP_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-nh-cp_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-NH-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	36136
	302248483	UNB-OB-CP_02	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-ob-cp_02_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-CP\UNB-OB-CP_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	15040
	302361834	UNA-BM-LO_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-bm-lo_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-BM-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	33256
	323616383	UNA-BM-AL_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-bm-al_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-BM-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	34732
	324373550	UNB-NH-FL_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-nh-fl_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-NH-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20800
	334920825	UNA-HS-AL_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-hs-al_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-HS-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	35344
	335324092	UNB-BM-AL_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-bm-al_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-BM-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	32068
	346143568	UNA-OB-FL_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-ob-fl_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	22168
	352019296	WalkieTalkie_IN_02	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\sfx\walkietalkie_in_02_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	4096
	385859352	UNA-DB-FL_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-db-fl_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-DB-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	33256
	407699839	UNA-BM-HG_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-bm-hg_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-BM-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	55648
	431999696	WalkieTalkie_OUT_02	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\sfx\walkietalkie_out_02_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	1792
	440704108	UNB-OB-CP_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-ob-cp_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-CP\UNB-OB-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	30232
	465726618	UNB-GG-AL_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-gg-al_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-GG-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	30052
	473745409	UNB-HS-AL_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-hs-al_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-HS-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	19576
	528410234	UNB-OB-OS_02	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-ob-os_02_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-OS\UNB-OB-OS_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20116
	533589659	UNB-HS-ST_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-hs-st_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-HS-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	43624
	566477244	UNA-RH-CP_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-rh-cp_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-RH-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	18100
	605195977	UNA-NH-OS_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-nh-os_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-NH-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	26524
	615211791	UNB-RH-CP_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-rh-cp_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-RH-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	15004
	623421104	WalkieTalkie_IN_03	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\sfx\walkietalkie_in_03_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	5608
	625976811	UNA-OB-OS_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-ob-os_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-OS\UNA-OB-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	23068
	630542219	UNB-BM-ST_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-bm-st_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-BM-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	25480
	647502295	UNA-DB-CP_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-db-cp_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-DB-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	19540
	680889701	WalkieTalkie_OUT_07	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\sfx\walkietalkie_out_07_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_07	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	1936
	689721741	UNB-OB-OS_03	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-ob-os_03_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-OS\UNB-OB-OS_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	21592
	728268619	UNB-GG-HG_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-gg-hg_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-GG-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	26524
	729243488	UNA-BM-ST_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-bm-st_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-BM-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	33652
	740266105	UNA-HS-HG_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-hs-hg_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-HS-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	26776
	744200626	UNA-OB-OS_02	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-ob-os_02_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-OS\UNA-OB-OS_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	19360
	755600443	UNB-NH-CP_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-nh-cp_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-NH-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	36208
	787555637	UNA-OB-OS_03	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-ob-os_03_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-OS\UNA-OB-OS_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	25732
	854311290	UNA-DB-OS_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-db-os_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-DB-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	28360
	856886473	UNA-HS-LO_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-hs-lo_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-HS-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	18064
	898084552	UNA-OB-CP_02	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-ob-cp_02_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-CP\UNA-OB-CP_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	19396
	904429250	UNA-OB-CP_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-ob-cp_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-CP\UNA-OB-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	33076
	920042801	UNB-OB-OS_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-ob-os_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-OS\UNB-OB-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	23932
	921528663	WalkieTalkie_IN_04	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\sfx\walkietalkie_in_04_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_04	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2692
	924301855	WalkieTalkie_IN_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\sfx\walkietalkie_in_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	3520
	927632933	WalkieTalkie_OUT_04	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\sfx\walkietalkie_out_04_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_04	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	3484
	929317968	UNB-DB-OS_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-db-os_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-DB-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20152
	940172438	UNA-RH-FL_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-rh-fl_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-RH-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	23572
	951541173	UNB-OB-CP_03	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-ob-cp_03_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-CP\UNB-OB-CP_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	32788
	955204429	UNB-GG-LO_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-gg-lo_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-GG-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	23140
	1008848796	UNA-RH-OS_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-rh-os_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-RH-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	31096
	1012312638	UNB-OB-FL_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-ob-fl_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	29800
	1020905538	WalkieTalkie_IN_06	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\sfx\walkietalkie_in_06_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_06	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	3592
	1024498142	UNA-OB-CP_03	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-ob-cp_03_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-CP\UNA-OB-CP_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	11800
